weeknr;yearcont;debase;depeak;frbase;frpeak;nlbase;nlpeak;npbase;nppeak;esbase;ttf;coalara;eua;ftse_np;ftse_de;ftse_fr;ftse_nl;ftse_es;year;month;yearmonth;de_base_spot;de_peak_spot;fr_base_spot;fr_peak_spot;nl_base_spot;nl_peak_spot;es_base_spot;np_base_spot;np_peak_spot;de_base_spot_ftse;fr_base_spot_ftse;nl_base_spot_ftse;np_base_spot_ftse;es_base_spot_ftse;de_peak_spot_ftse;fr_peak_spot_ftse;nl_peak_spot_ftse;np_peak_spot_ftse;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;de_ren;fr_ren;nl_ren;es_ren;np_ren;np_res;es_res;fr_res
418;2008;61,99;85,7;62,32;86,3;65,436;87,4025;52,18;55,23;56,32;25,303;71,4778;22,916;209,598;543,294;805,436;961,258;1363,84;2007;12;200712;43,54;53,164;72,03;84,45;69,67;51,782;68,23;47,8776;50,01222;23655,02;58015,55;66970,84;10035,04;93054,53;28883,68;68019,06;49775,86;10482,46;0;0;0;0;0;0;0;0;0;0;0;5315;950;571;4780;192;88542;22466;6600
419;2008,02;62,818;87,27;63,74;87,896;66,17;88,372;53,57;57,2;57,72;26,556;76,1012;23,424;197,32;527,974;782,086;929,51;1336,06;2008;1;200801;65,756;82,976;68,646;84,084;67,742;43,264;72,102;49,6482;52,90458;34717,46;53687,07;62966,87;9796,587;96332,45;43809,17;65760,92;40214,32;10439,13;1;0;0;0;0;0;0;0;0;0;0;5510;1028;746;3604;232;85365;22672;6500
420;2008,04;62,162;86,706;63,03;87,526;65,35;86,87;52,422;56,05;57,59;25,2572;74,9862;22,776;188,658;509,5;752,536;886,556;1273,86;2008;1;200801;66,062;82,15;69,418;85,304;69,42;44,946;67,68;46,1651;47,66802;33658,59;52239,54;61544,72;8709,417;86214,98;41855,43;64194,33;39847,15;8992,953;1;0;0;0;0;0;0;0;0;0;0;5510;1028;746;3604;232;82815;22975;6700
421;2008,06;59,824;84,634;60,786;85,944;62,946;83,2;49,086;52,926;56,68;24,18;73,6139;20,414;180,688;460,146;695,292;821,882;1169,56;2008;1;200801;57,526;68,652;62,064;75,484;62,588;40,408;68,896;44,9668;47,27428;26470,36;43152,6;51439,95;8124,966;80577,73;31589,94;52483,42;33210,61;8541,895;1;0;0;0;0;0;0;0;0;0;0;5510;1028;746;3604;232;79832;23469;6700
422;2008,08;61,38;85,662;62,148;86,702;64,26;84,77;50,46;53,826;56,64;24,623;78,7097;19,91;186,712;472,03;711,448;847,738;1210,81;2008;1;200801;60,858;72,03;72,58;85,27;72,654;52,738;77,086;41,3902;42,5816;28726,8;51636,9;61591,55;7728,056;93336,66;34000,32;60665,18;44708;7950,495;1;0;0;0;0;0;0;0;0;0;0;5510;1028;746;3604;232;76882;23656;6700
423;2008,1;60,914;84,708;61,782;85,972;64,028;84,046;50,144;53,45;56,9;24,2662;79,9016;19,754;186,77;468,032;698,488;834,822;1194,01;2008;2;200802;60,316;71,59;60,85;71,466;61,014;43,716;69,578;40,5281;42,04362;28229,82;42502,99;50935,83;7569,428;83077,11;33506,41;49918,14;36495,08;7852,488;0;1;0;0;0;0;0;0;0;0;0;5245;859;632;3380;138;73555;23695;6400
424;2008,12;62,4;85,562;63,264;86,97;65,64;85,68;52,016;55,3;57,52;25,4054;85,1015;20,302;189,772;473,48;699,7;825,402;1201,94;2008;2;200802;67,152;77,292;67,252;75,486;68,358;52,736;69,392;43,7211;46,36765;31795,13;47056,22;56422,83;8297,041;83405,16;36596,22;52817,55;43528,4;8799,282;0;1;0;0;0;0;0;0;0;0;0;5245;859;632;3380;138;69804;23891;6300
425;2008,14;63,456;87,058;64,262;88,376;67,098;86,996;52,746;56;59,2;26,2956;85,1654;21,434;193,47;475,682;708,36;844,82;1201,76;2008;2;200802;68,04;79,382;69,626;78,83;69,684;54,302;73,896;39,4708;41,11086;32365,4;49320,27;58870,44;7636,407;88805,41;37760,59;55840,02;45875,41;7953,718;0;1;0;0;0;0;0;0;0;0;0;5245;859;632;3380;138;67297;23947;6200
426;2008,16;64,52;88,856;65,296;90,014;68,394;88,652;52,39;55,6;59,92;26,7178;88,5776;21,334;196,026;474,578;717,768;859,684;1214,96;2008;2;200802;60,134;71,348;62,436;72,252;63,926;46,542;66,046;32,1961;33,7073;28538,27;44814,56;54956,16;6311,27;80243,51;33860,19;51860,17;40011,41;6607,507;0;1;0;0;0;0;0;0;0;0;0;5245;859;632;3380;138;64585;24134;6000
427;2008,17;64,2;88,698;65,334;90,082;68,096;88,2;51,16;53,95;59,73;26,8882;87,841;21,114;187,768;455,472;688,794;826,234;1168,04;2008;3;200803;60,444;71,854;69,5;80,338;66,482;48,352;60,568;33,7441;36,47383;27530,55;47871,18;54929,69;6336,06;70745,85;32727,48;55336,33;39950,07;6848,618;0;0;1;0;0;0;0;0;0;0;0;6248;1138;751;3492;215;61131;24300;5900
