;All sources;Oil and gas extraction - offshore - natural gas in turbines etc. (stationary combustion);Oil and gas extraction - offshore - flaring (stationary combustion);Oil and gas extraction - offshore - diesel fixed installations (stationary combustion);Oil and gas extraction - offshore - diesel mobile installations, production (stationary combustion);Oil and gas extraction - offshore - diesel mobile installations, exploration(stationary combustion);Oil and gas extraction - offshore - well testing (stationary combustion);Oil and gas extraction - onshore installations - natural gas in turbines etc. (stationary combust...;Oil and gas extraction - onshore installations - flaring (stationary combustion);Oil and gas extraction - cold flaring and leakage, offshore (process emissions);Oil and gas extraction - oil loading, offshore (process emissions);Oil and gas extraction - oil loading, onshore (process emissions);Oil and gas extraction - onshore - gas terminals, onshore (process emissions);Wood processing - stationary combustion;Oil refining - stationary combustion;Petrochemistry - stationary combustion;Fertilizer - stationary combustion;Other chemical industries - stationary combustion;Cement, lime and plaster - stationary combustion;Other mineral industries - stationary combustion;Metal industry - stationary combustion;Other industries and mining - stationary combustion;Wood processing - process emissions;Oil refining - process emissions;Petrochemistry - process emissions;Fertilizer - process emissions;Carbides - process emissions;Chemical industri, other - process emissions;Cement - process emissions;Mineral industry, other - process emissions;Iron, steel and ferro-alloys - process emissions;Aluminium - process emissions;Other metals - process emissions;Anodes - process emissions;Coal mining (process emissions);Fermentation (bread and beer) - process emissions;Energy supply;Heating in primary industries;Heating in construction and building;Heating in other service industries;Heating in households;Passenger cars - petrol;Passenger cars - diesel;Light duty vehicles - petrol;Light duty vehicles - diesel;Heavy duty vehicles - petrol;Heavy duty vehicles - diesel etc.;Motor cycles;Mopeds;Railways;Domestic aviation < 1000 m;Domestic aviation > 1000 m;Navigation - coastal traffic etc.;Navigation - fishing;Small boats;Snowmobiles;Tractors, construction machines and other motorized equipment: diesel;Motorized equipment: petrol;Enteric fermentation;Manure;Fertilizer;Agriculture, other;Landfill gas;Products containing fluorinated gases;Other products, including solvents;Fires, cremations etc.;Petrol distribution;Whitening of industrial waste;Waste water and waste water handeling;Sources not mentioned elsewhere
1987;51229;3337;1021;124;39;155;80;252;18;145;264;4;12;484;927;606;92;229;444;235;377;1474;..;36;10;1794;356;..;547;..;2303;4714;5866;67;66;..;317;231;123;1357;2175;4950;171;361;242;65;1877;19;28;89;260;717;2150;1399;188;10;1221;58;2384;1017;661;1101;1591;37;160;0;28;20;110;35
1989;49370;4650;1114;203;33;147;80;307;18;173;378;79;7;272;1138;550;220;201;400;269;402;1140;..;39;10;2481;435;..;646;..;2707;4511;2654;67;66;..;332;190;109;909;1772;4998;159;399;265;60;1774;20;29;92;258;759;1953;1340;182;11;1161;59;2354;982;663;1094;1663;49;145;0;28;20;110;37
1990;50409;4929;1306;193;47;188;80;311;21;170;430;66;7;247;1040;689;308;188;447;245;375;1050;10;790;20;2574;408;201;634;76;2572;4789;2279;26;67;67;325;176;102;884;1477;5048;180;373;317;37;1759;23;32;108;266;689;1811;1383;182;11;1125;60;2352;921;665;1094;1723;56;156;0;30;20;136;39
1991;48321;5222;836;235;42;226;73;321;21;181;482;81;11;310;991;645;428;155;346;242;376;883;11;674;19;2358;361;175;592;76;2223;4396;2147;26;71;110;366;145;101;774;1291;4899;192;369;330;33;1811;24;31;104;269;673;1765;1266;182;12;1093;59;2352;928;666;1099;1712;69;137;0;29;20;135;40
1992;46573;5670;726;242;49;198;158;296;16;199;640;102;14;246;1195;674;312;127;459;247;357;875;11;898;20;1753;370;169;653;66;2237;3732;683;53;59;109;353;127;100;747;1108;4774;220;366;396;32;2012;25;31;110;279;702;1894;1186;182;12;1049;59;2379;933;667;1091;1678;85;141;0;29;18;134;40
1993;48492;5898;800;265;99;110;102;365;56;202;799;72;17;289;1188;743;330;88;610;238;333;917;10;906;20;2034;359;169;838;67;2463;3867;637;41;66;117;359;122;83;747;1094;4759;302;368;485;37;2291;26;29;115;271;627;2090;1166;182;12;1029;59;2341;904;658;1083;1667;103;141;0;29;18;136;41
1994;50447;6108;857;367;98;89;149;680;35;219;828;91;21;667;1224;754;344;126;582;245;332;1056;11;910;19;2124;340;246;845;76;2817;3636;661;46;66;114;406;151;96;880;1074;4752;303;367;527;33;2040;28;27;118;318;829;1922;1224;182;12;1124;58;2382;917;652;1068;1660;131;154;0;30;20;141;41
1995;50242;6126;994;373;97;95;108;697;32;215;885;89;21;568;1022;653;341;113;541;269;354;940;11;743;17;2158;332;252;875;93;2896;3474;560;43;65;123;402;159;125;847;1088;4678;332;364;553;40;2200;31;26;116;335;835;1978;1244;182;13;1240;59;2374;922;667;1078;1621;179;150;0;29;19;143;42
1996;53378;6602;1055;420;142;119;135;720;94;311;891;82;28;813;1269;699;415;121;563;328;385;1019;11;913;18;2106;337;273;863;107;2893;3239;585;33;66;125;619;215;93;1161;1341;4759;375;356;568;41;2314;36;26;79;361;840;2047;1390;182;13;1449;58;2399;929;674;1085;1586;214;159;0;27;18;141;42
1997;53330;7071;968;472;140;121;155;725;82;257;972;80;32;605;1160;1038;366;125;599;335;371;859;11;790;46;2133;325;208;922;103;2902;3139;593;34;58;141;563;151;95;930;1152;4677;382;347;689;43;2278;42;25;83;373;859;2265;1459;182;13;1435;58;2375;915;679;1083;1547;308;153;0;26;21;142;44
1998;53502;6761;1052;459;248;105;113;626;63;213;956;73;32;613;1132;1127;297;137;565;349;407;988;9;892;59;1958;335;244;900;101;3141;3101;747;38;60;93;597;172;105;857;1174;4719;391;354;782;39;2358;49;25;65;373;824;2448;1503;182;14;1181;57;2383;917;676;1085;1438;355;153;0;25;21;141;44
