"","name","lon","lat","recoverable_oil","remaining_oil","producing_from","total.invest"
"1","33/9-6 DELTA",NA,NA,NA,NA,NA,0
"6","ALBUSKJELL",2.99301856064265,56.6307886616647,7.4,0,"1979-05-26",2752
"46","ALVE",7.8279060316489,65.9692400257618,1.9,0.8,"2009-03-19",3864
"54","ALVHEIM",2.01022365575681,59.57465030336,37.2,17.5,"2008-06-08",17708
"64","ÅSGARD",6.72853702489456,65.1163537968495,100.4,18.6,"1999-05-19",65301
"82","ATLA",2.57787339304005,59.6705736401544,0.3,0.3,"2012-10-07",324
"85","BALDER",2.44689453287195,59.3063099949198,72.1,16.2,"1999-10-02",23198
"109","BLANE",2.47342668716996,56.8850501284256,0.8,0.3,"2007-09-12",544
"118","BØYLA",1.84862660830767,59.3203265173592,3.4,3.4,NA,85
"121","BRAGE",3.01421616133709,60.5805765820626,59.3,4,"1993-09-23",17062
"146","BRYNHILD",2.2973169124549,57.4932975065883,3.6,3.6,NA,210
"149","COD",2.42291133465894,57.0664672855577,2.9,0,"1977-12-26",1003
"190","DRAUGEN",7.7560426548571,64.3324339589327,146.7,14.9,"1993-10-19",23291
"216","EDDA",3.10359405732747,56.471103714507,4.8,0,"1979-12-02",2157
"257","EKOFISK",3.21828698687722,56.5466319905051,569.2,129.8,"1971-06-15",94172
"301","ELDFISK",3.24286950170452,56.3987003358755,137.9,37.3,"1979-08-08",34963
"341","EMBLA",3.24991899726897,56.3270996890888,11.9,1.5,"1993-05-12",3129
"365","ENOCH",1.52325979309513,58.6475901620041,0.4,0.1,"2007-05-31",208
"374","FRAM",3.52854474017832,61.0154704028285,30.7,5.9,"2003-10-02",9875
"391","FRIGG",2.0944300670264,59.9110753062934,0,0,"1977-09-13",8614
"428","FRØY",2.55676350620293,59.732034226586,5.6,0,"1995-05-15",5551
"450","GAUPE",1.93147057433345,57.9612904674652,0.2,0.1,"2012-03-31",2085
"454","GIMLE",2.31701021620836,61.2476965479243,3,0.4,"2006-05-19",780
"464","GINA KROG",NA,NA,NA,NA,NA,0
"468","GJØA",3.94582175987074,61.3341761802186,11.6,6.4,"2010-11-07",28043
"485","GLITNE",1.64713993637797,58.7115279216089,8.9,0,"2001-08-29",2536
"499","GOLIAT",22.2965458401117,71.2740636316135,30.2,30.2,NA,10182
"504","GRANE",2.50607379481059,59.1857377077759,124.6,36.1,"2003-09-23",19746
"520","GUDRUN",1.75161092079814,58.8493803077664,11.7,11.7,NA,5857
"524","GULLFAKS",2.13036380816768,61.2089581494083,365.5,11.6,"1986-12-22",74940
"557","GULLFAKS SØR",2.21528598111054,61.1067299939659,58.8,16.6,"1998-10-10",28340
"575","GUNGNE",1.91707179494344,58.3096141408118,0,0,"1996-04-21",1930
"594","GYDA",3.08973251789626,56.8543531300868,36.5,0.9,"1990-06-21",12435
"620","HEIDRUN",7.30697961751645,65.3294441575204,182.1,40.1,"1995-10-18",52935
"648","HEIMDAL",2.22620308378794,59.5854747326451,8.2,1.6,"1985-12-13",10064
"681","HOD",3.47210796658871,56.1984281369552,10.4,0.9,"1990-09-30",2254
"707","HULDRA",2.64179713722523,60.8544389936779,5.1,0,"2001-11-21",7460
"723","HYME",7.53664057793516,64.345939490471,3.2,3.2,"2013-03-02",897
"726","ISLAY",NA,NA,0,0,"2012-04-10",578
"730","JETTE",2.35987016625532,59.3933511560377,1.5,1.5,"2013-05-20",263
"733","JOTUN",2.3253483482171,59.4295393891195,23.4,0.7,"1999-10-25",9484
"752","KNARR",2.78142112046222,61.8011422055356,11.9,11.9,NA,534
"755","KRISTIN",6.43301055953097,64.9713900880739,22.9,6,"2005-11-03",24467
"768","KVITEBJØRN",2.50995850982246,61.0922584663508,27.3,9.8,"2004-09-26",13707
"782","LILLE-FRIGG",2.38201166227233,59.9561654525893,1.3,0,"1994-05-13",3923
"802","MARTIN LINGE",2.05454497402892,60.5082369192653,6,6,NA,402
