"","county","id","odate","capacity.KW","rotor.diameter.m","hub.heigh.m","Manufacture","Type.designation","county.no","Type.of.location","Cadastral.district","Cadastral.no","X.east.coordinate","Y.north.coordinate","Distribution.company.number","Type.of.connection","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","ddate","eastWest","fullLoad","scrapped","time","survival","under100","under150","under450","InstallYear"
"1","Aabenraa","w570715000000048852",1999-04-14, 600, 42.00, 45.50,"Wind World","W 4200/600-150",580,"LAND","Hellevad","40",  513454.2,  6105176.7,"WKA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 700757,1342077, 988485,1182806,1072531, 1154927, 1120179, 910063,  830674,1260180, 1017902, 1032721, 1047382,NA,"west",1804.93106,0, 4857, 4857+,0,0,0,"1999"
"2","Aabenraa","w570715000000050640",1986-08-29,  80, 17.00, 40.00,"Tellus","TE 80/17",580,"LAND","Bolderslev, Bjolderup","448",  516375.6,  6093654.0,"200249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0,      0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-10-06,"west",NA,1, 5152, 5152 ,0,0,0,"1986"
"3","Aabenraa","w570715000000154935",2011-12-14,2000, 80.00, 60.00,"Vestas","V 80-2 MW",580,"LAND","Eggebæk Tinglev","180",  512788.0,  6079547.0,"44197623","10 kV siden af 10/0,4 kV transformer (eller tilsvarende) (inkluderer møller tilsluttet i 10kV-nettet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  272350,NA,"west",NA,0,  230,  230+,0,0,0,"2000"
"4","Aabenraa","w570715000000155031",2011-12-16,2000, 80.00, 60.00,"Vestas","V 80-2 MW",580,"LAND","Eggebæk Tinglev","109",  513638.0,  6079226.0,"44197626","10 kV siden af 10/0,4 kV transformer (eller tilsvarende) (inkluderer møller tilsluttet i 10kV-nettet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  278772,NA,"west",NA,0,  228,  228+,0,0,0,"2000"
"5","Aabenraa","w570715000000048425",2000-11-13,1500, 64.00, 60.00,"NEG Micon","NM 1500/64",580,"LAND","Jyndevad","348",  511198.4,  6079959.5,"91454","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 396785,2506109,2995930,2619226, 2853856, 2836874,2804777, 3167125,3202189, 2696679, 2416144, 2953480,NA,"west",1873.26060,0, 4278, 4278+,0,0,0,"2000"
"6","Aabenraa","w570715000000049842",2000-12-15, 750, 48.00, 45.00,"NEG Micon","NM 48/750",580,"LAND","Sågård Kliplev","32",  530816.4,  6089857.8,"200142","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  39278,1211413,1459153,1238030, 1363712, 1324034,1214411, 1519194,1456567, 1251591, 1253671, 1397026,NA,"west",1772.23680,0, 4246, 4246+,0,0,0,"2000"
"7","Aabenraa","w570715000000056536",2002-12-28, 900, 52.00, 44.00,"NEG Micon","NM 52/900 44",580,"LAND","Røllum, Ensted","315",  523161.6,  6094202.4,"200152","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 799594,1244447, 1376382, 1364064,1283541, 1507651,1311960, 1284020, 1224171, 1450259,NA,"west",1471.69944,0, 3503, 3503+,0,0,0,"2000"
"8","Aabenraa","w570715000000046094",1990-04-25, 150, 24.60, 32.70,"Nordtank","NTK 150 XLR-Nordtank",580,"LAND","Rens","225",  503129.3,  6083097.8,"30705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 212163, 282776, 261710, 268970, 348830, 297940, 226080, 333210, 333510, 268156, 307709, 234728, 280616, 243708,  259308,  227265, 169900,  309183, 288180,  231938,  127533,NA,2010-09-02,"west",1815.33930,1, 7435, 7435 ,0,1,1,"1990"
"9","Aabenraa","w570715000000056109",2001-10-25, 660, 47.00, 45.00,"Vestas","V 47-660",580,"LAND","Hokkerup, Holbøl","250",  532452.7,  6083203.6,"200153","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 218589,1173434,1008934, 1125696, 1108631,1020354, 1275984,1212684, 1041107,  989160, 1088913,NA,"west",1676.09158,0, 3932, 3932+,0,0,0,"2000"
"10","Aabenraa","w570715000000048395",2000-11-08,1500, 64.00, 60.00,"NEG Micon","NM 64/1500",580,"LAND","Jyndevad","363",  510357.4,  6080344.0,"91451","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 531812,2458565,2921921,2580749, 2667207, 2764666,2727122, 3116102,3190230, 2615739, 2358713, 2885826,NA,"west",1826.73427,0, 4283, 4283+,0,0,0,"2000"
