"","date","time","windSetW","windEstW","ElbasDKW","PriceDKW","bal.price.up","bal.price.down","bal.to.up","bal.to.down","sys.imbalance.pos","sys.imbalance.neg","cons.prog.DK1","cons.prog.DK2","cons.DK1","cons.DK2","cons.DK","DK.West.and.Germany.mwh_h","DK.East.and.Germany.mwh_h","diff","cons.diff.dkw","cons.diff.dk","pos.sys.imb.dummy","neg.sys.imb.dummy","DKWElbON","reg.up.dummy","reg.down.dummy","WindPos","error_plus","error_neg","error_plus_sq","error_neg_sq","cons.pos.w","cons.error.plus.w","cons.error.neg.w","cons.pos","cons.error.plus","cons.error.neg","sys.imbalance"
"1",2010-01-01,"1",1.75,2.19,NA,39.64,39.64,39.64,NA,NA,125.4,NA,19.98,16.03,21.89,"1622",38.11,"950.0","550.0",-0.44,1.91,2.09999999999999,1,0,0,0,0,0,0,0.44,0,0.1936,1,1.91,0,1,2.09999999999999,0,125.4
"6490",2010-01-01,"10",2.59,3.8,NA,38.93,40.94,38.93,123.8,NA,260.4,NA,19.3,15.17,20.83,"1574",36.57,"950.0","550.0",-1.21,1.53,2.1,1,0,0,1,0,0,0,1.21,0,1.4641,1,1.53,0,1,2.1,0,260.4
"7211",2010-01-01,"11",2.49,4.27,43.73,39.29,41.96,39.29,146.4,NA,200,NA,20.11,16,22.23,"1676",38.99,"950.0","550.0",-1.78,2.12,2.88,1,0,1,1,0,0,0,1.78,0,3.1684,1,2.12,0,1,2.88,0,200
"7932",2010-01-01,"12",1.77,4.87,41.11,39.25,42.14,39.25,187,NA,53.1,NA,20.82,16.66,23.04,"1756",40.6,"950.0","550.0",-3.1,2.22,3.12,1,0,1,1,0,0,0,3.1,0,9.61,1,2.22,0,1,3.12,0,53.1
"8653",2010-01-01,"13",1.6,5.16,41.15,39.24,43.95,39.24,203.8,NA,NA,-23.1,20.74,17.05,23.22,"1805",41.27,"950.0","550.0",-3.56,2.48,3.48,0,1,1,1,0,0,0,3.56,0,12.6736,1,2.48,0,1,3.48,0,-23.1
"9374",2010-01-01,"14",1.85,5.11,41.1,20.92,44.55,20.92,223,NA,NA,-74.3,20.86,17.08,23.09,"1819",41.28,"950.0","550.0",-3.26,2.23,3.34,0,1,1,1,0,0,0,3.26,0,10.6276,1,2.23,0,1,3.34,0,-74.3
"10095",2010-01-01,"15",2.38,4.93,41.04,39.25,44.55,39.25,214.7,NA,NA,-69.4,21.07,17.2,23.1,"1836",41.46,"950.0","550.0",-2.55,2.03,3.19,0,1,1,1,0,0,0,2.55,0,6.5025,1,2.03,0,1,3.19,0,-69.4
"10816",2010-01-01,"16",2.84,4.46,40.83,39.31,43.95,39.31,112.7,NA,163.2,NA,21.64,17.54,23.31,"1878",42.09,"950.0","550.0",-1.62,1.67,2.91,1,0,1,1,0,0,0,1.62,0,2.6244,1,1.67,0,1,2.91,0,163.2
"11537",2010-01-01,"17",3.04,4.05,42.27,39.98,45.66,39.98,5.5,NA,260.1,NA,23.82,19.42,25.55,"2013",45.68,"950.0","550.0",-1.01,1.73,2.44,1,0,1,1,0,0,0,1.01,0,1.0201,1,1.73,0,1,2.44,0,260.1
"12258",2010-01-01,"18",3.19,3.9,43.49,40.26,45.66,40.26,17,NA,363.9,NA,26.81,21.04,27.93,"2114",49.07,"950.0","550.0",-0.71,1.12,1.22000000000001,1,0,1,1,0,0,0,0.71,0,0.5041,1,1.12,0,1,1.22000000000001,0,363.9
