,index,Unnamed: 0,plant_code,plant_name,report_year,state,county,ownership,sector,zip,lat,long,bal_auth_code,bal_auth_name,trans_owner,trans_owner_id,solar_cap,wind_cap,intermittent_cap,wat_source,isrsrvr,prop_interm_cap,prime_mover,uprate_or_repower,prop_gen,investment,plan_uprate_sum,op_year,nameplate,tot_nameplate,perc_intermittent,utility,plan_uprate,isRPS
751,2269,2269,2,Bankhead Dam,2014,AL,Tuscaloosa,S,1,35476,33.458665,-87.356823,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Black Warrior River,0,0,HY,0,0,0,,1963,53.9,20691.6,0,1,0,0
2190,6644,6644,4,Walter Bouldin Dam,2014,AL,Elmore,S,1,36092,32.583889,-86.283056,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1967,225,20691.6,0,1,0,0
2191,6645,6645,4,Walter Bouldin Dam,2014,AL,Elmore,S,1,36092,32.583889,-86.283056,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1967,225,20691.6,0,1,0,0
2192,6646,6646,4,Walter Bouldin Dam,2014,AL,Elmore,S,1,36092,32.583889,-86.283056,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1967,225,20691.6,0,1,0,0
244,739,739,11,H Neely Henry Dam,2014,AL,Calhoun,S,1,36271,33.7845,-86.0524,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1966,72.9,20691.6,0,1,0,0
245,740,740,11,H Neely Henry Dam,2014,AL,Calhoun,S,1,36271,33.7845,-86.0524,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1966,72.9,20691.6,0,1,0,0
246,741,741,11,H Neely Henry Dam,2014,AL,Calhoun,S,1,36271,33.7845,-86.0524,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1966,72.9,20691.6,0,1,0,0
263,796,796,12,Holt Dam,2014,AL,Tuscaloosa,S,1,35476,33.2553,-87.4495,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Black Warrior River,0,0,HY,0,0,0,,1968,46.9,20691.6,0,1,0,0
264,805,805,13,Jordan Dam,2014,AL,Elmore,S,1,36092,32.6189,-86.2548,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1929,100,20691.6,0,1,0,0
265,806,806,13,Jordan Dam,2014,AL,Elmore,S,1,36092,32.6189,-86.2548,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1929,100,20691.6,0,1,0,0
266,807,807,13,Jordan Dam,2014,AL,Elmore,S,1,36092,32.6189,-86.2548,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1929,100,20691.6,0,1,0,0
267,808,808,13,Jordan Dam,2014,AL,Elmore,S,1,36092,32.6189,-86.2548,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1929,100,20691.6,0,1,0,0
297,902,902,14,Logan Martin Dam,2014,AL,Talladega,S,1,35178,33.425878,-86.337547,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1964,128.1,20691.6,0,1,0,0
298,903,903,14,Logan Martin Dam,2014,AL,Talladega,S,1,35178,33.425878,-86.337547,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1964,128.1,20691.6,0,1,0,0
299,904,904,14,Logan Martin Dam,2014,AL,Talladega,S,1,35178,33.425878,-86.337547,SOCO,"Southern Company Services, Inc. - Trans",Alabama Power Co,195,0,0,0,Coosa River,0,0,HY,0,0,0,,1964,128.1,20691.6,0,1,0,0
